team,sponsor,stage,counterfactual,baseline_roi,counterfactual_roi,roi_delta,roi_ci_low,roi_ci_high,method,reason
Brazil,Adidas,group_or_knockout,player_absent,4.518,3.9758,-0.5422,3.6558,4.2958,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.518,5.1505,0.6325,4.8905,5.4105,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.518,4.2017,-0.3163,3.9217,4.4817,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.518,4.8794,0.3614,4.6094,5.1494,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.518,3.7048,-0.8132,3.3248,4.0848,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Chile,Hisense,group_or_knockout,player_absent,4.518,3.9758,-0.5422,3.6558,4.2958,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Chile,Hisense,group_or_knockout,media_surge,4.518,5.1505,0.6325,4.8905,5.4105,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Chile,Hisense,group_or_knockout,budget_cut,4.518,4.2017,-0.3163,3.9217,4.4817,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Chile,Hisense,group_or_knockout,budget_increase,4.518,4.8794,0.3614,4.6094,5.1494,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Chile,Hisense,group_or_knockout,negative_news_shock,4.518,3.7048,-0.8132,3.3248,4.0848,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.475,3.938,-0.537,3.618,4.258,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.475,5.1015,0.6265,4.8415,5.3615,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.475,4.1617,-0.3133,3.8817,4.4417,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.475,4.833,0.358,4.563,5.103,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.475,3.6695,-0.8055,3.2895,4.0495,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
North Korea,Adidas,group_or_knockout,player_absent,4.475,3.938,-0.537,3.618,4.258,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
North Korea,Adidas,group_or_knockout,media_surge,4.475,5.1015,0.6265,4.8415,5.3615,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
North Korea,Adidas,group_or_knockout,budget_cut,4.475,4.1617,-0.3133,3.8817,4.4417,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
North Korea,Adidas,group_or_knockout,budget_increase,4.475,4.833,0.358,4.563,5.103,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
North Korea,Adidas,group_or_knockout,negative_news_shock,4.475,3.6695,-0.8055,3.2895,4.0495,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Netherlands,Hisense,group_or_knockout,player_absent,4.469,3.9327,-0.5363,3.6127,4.2527,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Netherlands,Hisense,group_or_knockout,media_surge,4.469,5.0947,0.6257,4.8347,5.3547,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Netherlands,Hisense,group_or_knockout,budget_cut,4.469,4.1562,-0.3128,3.8762,4.4362,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Netherlands,Hisense,group_or_knockout,budget_increase,4.469,4.8265,0.3575,4.5565,5.0965,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Netherlands,Hisense,group_or_knockout,negative_news_shock,4.469,3.6646,-0.8044,3.2846,4.0446,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.469,3.9327,-0.5363,3.6127,4.2527,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.469,5.0947,0.6257,4.8347,5.3547,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.469,4.1562,-0.3128,3.8762,4.4362,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.469,4.8265,0.3575,4.5565,5.0965,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.469,3.6646,-0.8044,3.2846,4.0446,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Scotland,Adidas,group_or_knockout,player_absent,4.454,3.9195,-0.5345,3.5995,4.2395,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Scotland,Adidas,group_or_knockout,media_surge,4.454,5.0776,0.6236,4.8176,5.3376,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Scotland,Adidas,group_or_knockout,budget_cut,4.454,4.1422,-0.3118,3.8622,4.4222,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Scotland,Adidas,group_or_knockout,budget_increase,4.454,4.8103,0.3563,4.5403,5.0803,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Scotland,Adidas,group_or_knockout,negative_news_shock,4.454,3.6523,-0.8017,3.2723,4.0323,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.454,3.9195,-0.5345,3.5995,4.2395,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.454,5.0776,0.6236,4.8176,5.3376,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.454,4.1422,-0.3118,3.8622,4.4222,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.454,4.8103,0.3563,4.5403,5.0803,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.454,3.6523,-0.8017,3.2723,4.0323,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.45,3.916,-0.534,3.596,4.236,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.45,5.073,0.623,4.813,5.333,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.45,4.1385,-0.3115,3.8585,4.4185,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.45,4.806,0.356,4.536,5.076,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.45,3.649,-0.801,3.269,4.029,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Cameroon,Hyundai,group_or_knockout,player_absent,4.45,3.916,-0.534,3.596,4.236,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Cameroon,Hyundai,group_or_knockout,media_surge,4.45,5.073,0.623,4.813,5.333,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Cameroon,Hyundai,group_or_knockout,budget_cut,4.45,4.1385,-0.3115,3.8585,4.4185,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Cameroon,Hyundai,group_or_knockout,budget_increase,4.45,4.806,0.356,4.536,5.076,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Cameroon,Hyundai,group_or_knockout,negative_news_shock,4.45,3.649,-0.801,3.269,4.029,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Ivory Coast,McDonald's,group_or_knockout,player_absent,4.445,3.9116,-0.5334,3.5916,4.2316,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Ivory Coast,McDonald's,group_or_knockout,media_surge,4.445,5.0673,0.6223,4.8073,5.3273,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Ivory Coast,McDonald's,group_or_knockout,budget_cut,4.445,4.1339,-0.3111,3.8539,4.4139,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Ivory Coast,McDonald's,group_or_knockout,budget_increase,4.445,4.8006,0.3556,4.5306,5.0706,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Ivory Coast,McDonald's,group_or_knockout,negative_news_shock,4.445,3.6449,-0.8001,3.2649,4.0249,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.445,3.9116,-0.5334,3.5916,4.2316,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.445,5.0673,0.6223,4.8073,5.3273,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.445,4.1339,-0.3111,3.8539,4.4139,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.445,4.8006,0.3556,4.5306,5.0706,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.445,3.6449,-0.8001,3.2649,4.0249,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
South Korea,Hisense,group_or_knockout,player_absent,4.437,3.9046,-0.5324,3.5846,4.2246,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
South Korea,Hisense,group_or_knockout,media_surge,4.437,5.0582,0.6212,4.7982,5.3182,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
South Korea,Hisense,group_or_knockout,budget_cut,4.437,4.1264,-0.3106,3.8464,4.4064,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
South Korea,Hisense,group_or_knockout,budget_increase,4.437,4.792,0.355,4.522,5.062,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
South Korea,Hisense,group_or_knockout,negative_news_shock,4.437,3.6383,-0.7987,3.2583,4.0183,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.437,3.9046,-0.5324,3.5846,4.2246,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.437,5.0582,0.6212,4.7982,5.3182,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.437,4.1264,-0.3106,3.8464,4.4064,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.437,4.792,0.355,4.522,5.062,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.437,3.6383,-0.7987,3.2583,4.0183,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Colombia,Mengniu,group_or_knockout,player_absent,4.413,3.8834,-0.5296,3.5634,4.2034,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Colombia,Mengniu,group_or_knockout,media_surge,4.413,5.0308,0.6178,4.7708,5.2908,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Colombia,Mengniu,group_or_knockout,budget_cut,4.413,4.1041,-0.3089,3.8241,4.3841,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Colombia,Mengniu,group_or_knockout,budget_increase,4.413,4.766,0.353,4.496,5.036,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Colombia,Mengniu,group_or_knockout,negative_news_shock,4.413,3.6187,-0.7943,3.2387,3.9987,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.413,3.8834,-0.5296,3.5634,4.2034,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.413,5.0308,0.6178,4.7708,5.2908,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.413,4.1041,-0.3089,3.8241,4.3841,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.413,4.766,0.353,4.496,5.036,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.413,3.6187,-0.7943,3.2387,3.9987,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Mexico,Vivo,group_or_knockout,player_absent,4.391,3.8641,-0.5269,3.5441,4.1841,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Mexico,Vivo,group_or_knockout,media_surge,4.391,5.0057,0.6147,4.7457,5.2657,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Mexico,Vivo,group_or_knockout,budget_cut,4.391,4.0836,-0.3074,3.8036,4.3636,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Mexico,Vivo,group_or_knockout,budget_increase,4.391,4.7423,0.3513,4.4723,5.0123,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Mexico,Vivo,group_or_knockout,negative_news_shock,4.391,3.6006,-0.7904,3.2206,3.9806,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.391,3.8641,-0.5269,3.5441,4.1841,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.391,5.0057,0.6147,4.7457,5.2657,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.391,4.0836,-0.3074,3.8036,4.3636,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.391,4.7423,0.3513,4.4723,5.0123,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.391,3.6006,-0.7904,3.2206,3.9806,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.381,3.8553,-0.5257,3.5353,4.1753,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.381,4.9943,0.6133,4.7343,5.2543,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.381,4.0743,-0.3067,3.7943,4.3543,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.381,4.7315,0.3505,4.4615,5.0015,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.381,3.5924,-0.7886,3.2124,3.9724,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Mexico,Vivo,group_or_knockout,player_absent,4.381,3.8553,-0.5257,3.5353,4.1753,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Mexico,Vivo,group_or_knockout,media_surge,4.381,4.9943,0.6133,4.7343,5.2543,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Mexico,Vivo,group_or_knockout,budget_cut,4.381,4.0743,-0.3067,3.7943,4.3543,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Mexico,Vivo,group_or_knockout,budget_increase,4.381,4.7315,0.3505,4.4615,5.0015,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Mexico,Vivo,group_or_knockout,negative_news_shock,4.381,3.5924,-0.7886,3.2124,3.9724,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.377,3.8518,-0.5252,3.5318,4.1718,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.377,4.9898,0.6128,4.7298,5.2498,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.377,4.0706,-0.3064,3.7906,4.3506,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.377,4.7272,0.3502,4.4572,4.9972,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.377,3.5891,-0.7879,3.2091,3.9691,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Belgium,Visa,group_or_knockout,player_absent,4.377,3.8518,-0.5252,3.5318,4.1718,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Belgium,Visa,group_or_knockout,media_surge,4.377,4.9898,0.6128,4.7298,5.2498,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Belgium,Visa,group_or_knockout,budget_cut,4.377,4.0706,-0.3064,3.7906,4.3506,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Belgium,Visa,group_or_knockout,budget_increase,4.377,4.7272,0.3502,4.4572,4.9972,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Belgium,Visa,group_or_knockout,negative_news_shock,4.377,3.5891,-0.7879,3.2091,3.9691,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Switzerland,Visa,group_or_knockout,player_absent,4.367,3.843,-0.524,3.523,4.163,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Switzerland,Visa,group_or_knockout,media_surge,4.367,4.9784,0.6114,4.7184,5.2384,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Switzerland,Visa,group_or_knockout,budget_cut,4.367,4.0613,-0.3057,3.7813,4.3413,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Switzerland,Visa,group_or_knockout,budget_increase,4.367,4.7164,0.3494,4.4464,4.9864,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Switzerland,Visa,group_or_knockout,negative_news_shock,4.367,3.5809,-0.7861,3.2009,3.9609,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.367,3.843,-0.524,3.523,4.163,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.367,4.9784,0.6114,4.7184,5.2384,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.367,4.0613,-0.3057,3.7813,4.3413,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.367,4.7164,0.3494,4.4464,4.9864,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.367,3.5809,-0.7861,3.2009,3.9609,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.361,3.8377,-0.5233,3.5177,4.1577,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.361,4.9715,0.6105,4.7115,5.2315,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.361,4.0557,-0.3053,3.7757,4.3357,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.361,4.7099,0.3489,4.4399,4.9799,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.361,3.576,-0.785,3.196,3.956,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Chile,Hisense,group_or_knockout,player_absent,4.361,3.8377,-0.5233,3.5177,4.1577,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Chile,Hisense,group_or_knockout,media_surge,4.361,4.9715,0.6105,4.7115,5.2315,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Chile,Hisense,group_or_knockout,budget_cut,4.361,4.0557,-0.3053,3.7757,4.3357,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Chile,Hisense,group_or_knockout,budget_increase,4.361,4.7099,0.3489,4.4399,4.9799,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Chile,Hisense,group_or_knockout,negative_news_shock,4.361,3.576,-0.785,3.196,3.956,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Turkey,Hyundai,group_or_knockout,player_absent,4.358,3.835,-0.523,3.515,4.155,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Turkey,Hyundai,group_or_knockout,media_surge,4.358,4.9681,0.6101,4.7081,5.2281,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Turkey,Hyundai,group_or_knockout,budget_cut,4.358,4.0529,-0.3051,3.7729,4.3329,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Turkey,Hyundai,group_or_knockout,budget_increase,4.358,4.7066,0.3486,4.4366,4.9766,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Turkey,Hyundai,group_or_knockout,negative_news_shock,4.358,3.5736,-0.7844,3.1936,3.9536,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.358,3.835,-0.523,3.515,4.155,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.358,4.9681,0.6101,4.7081,5.2281,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.358,4.0529,-0.3051,3.7729,4.3329,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.358,4.7066,0.3486,4.4366,4.9766,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.358,3.5736,-0.7844,3.1936,3.9536,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.355,3.8324,-0.5226,3.5124,4.1524,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.355,4.9647,0.6097,4.7047,5.2247,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.355,4.0502,-0.3049,3.7702,4.3302,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.355,4.7034,0.3484,4.4334,4.9734,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.355,3.5711,-0.7839,3.1911,3.9511,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Morocco,Coca-Cola,group_or_knockout,player_absent,4.355,3.8324,-0.5226,3.5124,4.1524,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
